ref:mise,fuel:diesel,fuel:octane_101,fuel:octane_100,fuel:octane_98,fuel:octane_95,fuel:cng,fuel:lpg,operator,brand,lat,lon
43795,yes,,,,yes,,,Automobile Club Trento,Api-Ip,46.07504,11.12425
30110,yes,,yes,,yes,,,Zanotelli Gherardo,Agip Eni,46.04807,11.13768
15810,yes,,yes,,yes,yes,yes,G. & M. di Ferrato Greta & C. S.A.S.,Agip Eni,46.0959,11.0975
37656,yes,,,,yes,,,Adami Armando e C. S.A.S.,Retitalia,46.00758,11.12707
42942,yes,,,,yes,,,Arena Edoardo - Stazione di Servizio,Agip Eni,46.07982,11.04061
23740,yes,,yes,,yes,,,Car Service S.N.C. di Nalesso Marco & C.,Agip Eni,46.08719,11.11089
35914,yes,,,,yes,,,Delta Energy S.R.L.,Delta energy,46.08944,11.12346
46740,yes,,,,yes,yes,yes,Delta Energy S.R.L.,Delta energy,46.11629,11.08949
24096,,,,,,,,Ruaben Franco,Api-Ip,46.07514,11.124
13470,,,,,,,,Lasta Fulvio & Perghem Mauro S.N.C.,Agip Eni,46.04456,11.13084
10056,yes,,yes,,yes,,yes,Pellegrini e Dalfovo Mauro S.N.C.,Agip Eni,46.1312,11.1101
8373,,,,,,,,Anesi Renato,Agip Eni,46.07994,11.04116
24134,yes,,,,yes,,,Aemme S.A.S. di Ficarra Adriano & C.,Esso,46.00362,11.12628
23951,yes,,,,yes,,,Drigo Maria,Esso,46.11271,11.10691
15587,yes,,yes,,yes,,,Boller Alessandro,Agip Eni,46.04235,11.11292
44791,yes,,,,yes,,yes,Jj S.A.S. di Bijedic Jelena & Jovan,Q8,46.08698,11.10534
41669,yes,,,,yes,,,Nicolussi Paolaz Luca,Api-Ip,46.09043,11.11634
36042,yes,,yes,,yes,,,N.E.W. Agip di Nardon Walter & C. S.A.S.,Agip Eni,46.0808,11.12205
27164,yes,,,,yes,,yes,Odorizzi Roberto,Q8,46.0872,11.10594
8259,yes,,yes,,yes,yes,,"Petrol-airport S.A.S. di Degasperi Diego, Tomasi Luca & C.",Agip Eni,46.03848,11.12307
6824,yes,,,,yes,,,Dicomi S.R.L.,Q8,46.09997,11.11174
38539,yes,,,,yes,,,Dido S.N.C. di Bahtic Edin & Bahtic Mina,Q8,46.06904,11.1363
23991,yes,,,,yes,,,Cainelli S.A.S. di Cainelli Gianluigi e C.,Q8,46.07311,11.05819
40642,,,,,,,,Sartori S.A.S. di Sartori Andrea & C.,Q8,46.087,11.10532
31394,yes,,,,yes,,,Stazione di Servizio Esso di Dematte' Oscar e Uber Lorenzo S.N.C.,Esso,46.04803,11.11373
25451,yes,,,,yes,,,Stazione Esso Viale Verona S.N.C. di Oscar Dematte' e Andrea Pedr Otti,Esso,46.05754,11.12817
36393,yes,,,,yes,,,Riolfatti Luigi,Agip Eni,46.08239,11.11548
23645,yes,,,,yes,,,Tarter Lino e Accurti Guido S.N.C.,Esso,46.0742,11.12468
10396,,,,,,,,Nicolussi Paolaz Lanfranco,Total Erg,46.09043,11.11635
21190,,,,,,,,De.Ko S.A.S. di Kovacevic Esed,Repsol,46.04677,11.13093
24259,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,46.07711,11.11397
22133,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,46.06434,11.11982
11849,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,46.07053,11.11086
28667,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,46.06892,11.13652
14637,,,,,,,,Leonardi Giuseppe,Api-Ip,46.3335,11.02601
23897,,,,,,,,Zendri Mirko,Q8,45.79447,11.10719
15790,yes,,,,yes,,,Agostini Marcello,Api-Ip,46.29645,10.69184
22433,yes,,,,yes,,,Leonardi S.N.C. di Leonardi Renato e C.,Esso,46.07568,10.99598
18977,yes,,,,yes,,,Mattioli Giovanni,Api-Ip,46.41991,11.67161
38427,yes,,,,yes,,,Alpichem Service di Blasco Andrea,Q8,46.4198,11.6807
35321,,,,,,,,Autofficina Simoni Mariano,Api-Ip,46.00045,11.20799
16802,yes,,,,yes,,,Zamboni Gianfranco,Api-Ip,46.00225,11.19984
4407,yes,,,,yes,,,Gruppo Nord Petroli S.R.L.,GNP,46.05943,11.52191
12625,yes,,,,yes,,,Giordani Michele & C. S.A.S.,Q8,45.91342,11.03641
41172,yes,,,,yes,,,Brixia Finanziaria S.R.L.,Retitalia,45.91781,11.0686
37197,yes,,yes,,yes,,,Perri Christian,Agip Eni,46.03985,10.74717
11874,yes,,yes,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,45.36228,7.75949
17525,yes,,,,yes,,,Stazione Esso di Adesso Antonio,Esso,44.9214,7.50246
9902,,,,,,,,Rolando Renato & C S.N.C.Siglabile Rolando & C S.N.C.,Total Erg,44.91149,7.46055
40943,yes,,,,yes,,,Eredi Zanetto Giovanni Bruno di Zanetto Daniele & C S.A.S.- Siglabile Eredi Zanetto Giovanni Bruno S.A.S.,,45.42736,7.94818
39424,,,,,,,,A.M. Service di Bertolino Andrea & C S.N.C.,Total Erg,45.44473,7.92172
30833,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,45.45804,7.76726
6389,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,45.11394,7.39099
35660,yes,,,,yes,,,Stazione di Servizio L.L. S.N.C. di Basso Luca e Zoppellaro Gianl Uca Siglabile: Stazione di Servizio L.L. S.N.C.,Agip Eni,45.11101,7.39763
41693,yes,,,,yes,,,Europam S.P.A.,Europam,45.10671,7.40095
7872,yes,,,,yes,,,Necchio Adriano,Esso,45.11918,7.50597
36991,yes,,,,yes,,,Economy S.R.L.,Total Erg,45.08748,7.52323
43114,yes,,,,yes,,yes,Magea S.N.C. di Antonicelli Eros & Gugliotta Maria Antonia,Agip Eni,45.10477,7.50475
43361,,,,,,,,Sed S.N.C. di Davide e Stefano Montagono,Total Erg,45.10202,7.53423
40125,,,,,,,,Gi.Mo. S.A.S. di Giunta Francesco & C.,Total Erg,45.10202,7.5342
32456,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,45.03436,7.86483
47312,yes,,yes,,yes,,,Longobardi Andrea,Q8,45.02763,7.85106
39251,,,,,,,,Badalamenti Nicolina,Agip Eni,45.02749,7.85133
32453,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,45.08182,7.4011
44444,yes,,,,yes,,,Leonardo S.R.L.,CONAD,45.08678,7.40842
8967,,,,,,,,Di Vico Nunzio,Agip Eni,45.08496,7.40388
44735,yes,,,,yes,,,Pignataro Giuseppe,Agip Eni,45.08493,7.40389
9505,yes,,,,yes,,,Giacone Denis,Tamoil,45.07548,7.39498
33120,yes,,,,yes,,yes,Kerotris - Società a Responsabilità Limitata,Kerotris,45.38016,7.73332
31726,,,,,,,,Vitello Maurizio Leonardo,Repsol,45.382,7.76162
40313,yes,,,,yes,,,Energy S.A.S. di Dumeville Giovanni Lorenzo & C.,GO,45.2663,7.51973
20124,,,,,,,,Autoriparazioni Nigro S.A.S. di Nigro Giampiero,Tamoil,45.40643,7.75138
42893,yes,,,,yes,,,T.D.M. S.R.L.,Tamoil,45.45791,7.85947
35233,,,,,,,,A.R.T. S.N.C. di Autieri Roberto e Tripodi Angela,Tamoil,45.45792,7.85946
10458,yes,,yes,,yes,,,Garnier Tatiana,Agip Eni,45.07483,6.713
3749,yes,,yes,,yes,,,Frejus 83 di Luciano Franco & C. S.A.S.,Tamoil,45.08172,6.71097
40263,yes,,,,yes,,,Frejus 83 di Luciano Franco & C. S.A.S.,Tamoil,45.07594,6.7093
19596,,,,,,,,Pezzo Caterina,Socogas,45.03034,7.59173
40145,,,,,,,,Filippa Gianluca,Agip Eni,45.01851,7.57805
44511,,,,,,,,Kich Servizi,Agip Eni,45.0185,7.57807
3742,yes,,yes,,yes,,yes,De.Ma. di Desantis Roberto e C S.A.S.,Agip Eni,45.00995,7.57856
44427,yes,,,,yes,,yes,D.F S.N.C.di Maglione Franco Teodoro e Delli Calici Domenico,Api-Ip,45.01225,7.5814
39981,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,45.02843,7.58418
44764,,,,,,,,Economy S.R.L.,Economysrl,45.0284,7.58418
42397,yes,,,,yes,,,Laudisio Lorenzo,Esso,45.02686,7.59584
14958,yes,,,,yes,,,Gas Station S.R.L.,Repsol,45.02193,7.59304
45403,yes,,,,yes,,,C.P.P. Compagnia Petrolifera Piemontese - S.R.L.,Q8,44.80109,7.28927
36276,,,,,,,,Bibibar di Sferrazza Luca,Q8,44.80111,7.28924
6228,yes,,,,yes,,,Oil Service S.N.C.di Medri Fabrizio & Rossi Maurizio.,Tamoil,45.47009,7.93788
5702,yes,,,,yes,,yes,Viotto Igor,Q8,45.46559,7.95816
32694,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,45.15676,7.65491
24891,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,45.13681,7.65624
11873,yes,,yes,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,45.14141,7.65545
45393,yes,,yes,,yes,yes,yes,Benzi & Wash di Carlo Esposito,Agip Eni,45.14612,7.67752
42287,yes,,,,yes,,,Tieffe Service S.N.C. di Tedesco Federico e Francesco,Esso,45.14578,7.65555
23706,yes,,,,yes,,,Artuso Marco,Tamoil,45.14574,7.70726
41872,yes,,,,yes,,,Europam S.P.A.,Europam,45.51989,7.85307
39314,,,,,,,,Ferrando Alberto,Agip Eni,45.51582,7.85807
39875,yes,,,,yes,,yes,Economy S.R.L.,Total Erg,45.36903,7.98193
24876,yes,,yes,,yes,yes,,Colombino & Pognant S.A.S. di Pognant Andrea & C.,Agip Eni,45.12422,7.22985
28357,yes,,,,yes,,yes,Stazione di Servizio Beyfin Capuano Monica,Beyfin,45.28087,7.74462
26755,yes,,,,yes,,,Zacchero Simona,Agip Eni,45.17749,7.83808
10540,,,,,,,,Centro Calor S.R.L.,,44.83041,7.31806
13926,yes,,,,yes,,,Pia Alain,Agip Eni,44.83133,7.30819
19954,yes,,,,yes,,,Fava Emiliano,Api-Ip,44.8451,7.31238
45106,yes,,,,yes,,,Af Garage S.N.C. di Alessio Fogo e Federico Brunetti Siglabile Nei Casi Consenti,Agip Eni,45.01877,7.48126
8617,,,,,,,,Gi e Gi S.N.C.di Perano Giovanni e Pitton Luigi,Agip Eni,45.01879,7.48124
34553,yes,,,,yes,,,Go S.R.L.,GO,45.15608,8.06103
22077,,,,,,,,Distributore Ip di Vair Manuela,Socogas,45.13695,7.17596
33446,yes,,yes,,yes,,yes,Elettro Tec di Rossetti Roberto,Tamoil,44.87167,7.40795
7125,yes,,yes,,yes,,,S.S.C. Società Sviluppo Commerciale S.R.L. in sigla S.S.C. S. R.L.,Tamoil,45.47095,7.92428
39427,yes,,yes,,yes,,yes,Fratelli Baima S.N.C. - di Baima Besquet Ivano e Baima Besquet Flavio,Agip Eni,45.32189,7.65976
7350,yes,,,,yes,,,Rossero Mario,Esso,45.13798,7.158
32022,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,45.06681,7.43405
11859,yes,,yes,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,45.08358,7.43193
