{,id,lat,lon,tags{,operator,brand,description,addr:postcode,addr:city,source:date,},}
,34196,45.92596756816492,12.707590162754059,,S.A. S.N.C. Di Montico Sandro & C.,Agip Eni,Via Raccordo Autostradale 16 33080,33080,Fiume Veneto,2018-04-09,,
,28424,45.899133859906726,12.733045829885896,,Del Col S.R.L.,Esso,Via Dante Alighieri 48 33080,33080,Fiume Veneto,2018-04-09,,
,32118,45.92603661403971,12.708569131282843,,Mema Xhevahir,Total Erg,A28/Ss 13Km. 0+750 Lato Dx  33080,33080,Fiume Veneto,2018-04-09,,
,6347,45.986593127511114,12.588357925415039,,Car Gold S.A.S. Di Bravin Giuliano & C.,Agip Eni,Via Antonini  2 33074,33074,Fontanafredda,2018-04-09,,
,25395,45.99235380559003,12.544831037521362,,Eredi Della Gaspera Graziano S.N.C. Di Della Gaspera Beatrice & C.,Total Erg,Via Margherita Giol 24  33074,33074,Fontanafredda,2018-04-09,,
,13681,45.97784026682477,12.575052827596664,,Fontanagomme Di Del Ben Cristian & Carpene' Marinella S.N.C.,Agip Eni,Viale Europa Unita 2 33074,33074,Fontanafredda,2018-04-09,,
,36648,45.97189240782814,12.558063715696335,,Gruppo Nord Petroli S.R.L.,Gnp,Statale 13 Pontebbana  Km. 72  Dir. Viale Venezia 13 33074,33074,Fontanafredda,2018-04-09,,
,13135,46.16060908237445,12.685920991401645,,Del Mistro Giannina In Cristofoli,Agip Eni,Viale Della Repubblica 120/A 33085,33085,Maniago,2018-04-09,,
,31382,46.103448394071364,12.750341892242432,,Som S.P.A.,Agip Eni,Via Vivarina 25 A 33085,33085,Maniago,2018-04-09,,
,30256,46.15841115157006,12.719651146032675,,Mazzoli Stefano,Agip Eni,Via Arba 43 33085,33085,Maniago,2018-04-09,,
,40287,46.159557320855534,12.708590626716614,,F.Lli Pontello Srl,Esso,Via Marco Polo  33085,33085,Maniago,2018-04-09,,
,17047,46.16598687441716,12.709001195106566,,F.Lli Pontello Srl,Api-Ip,Via Vittorio Emanuele 21  33085,33085,Maniago,2018-04-09,,
,24034,46.15978812506532,12.707948159050602,,San Marco Petroli Distribuzione S.R.L.,San Marco Petroli,Via Marco Polo  33085,33085,Maniago,2018-04-09,,
,22957,46.17113935090717,12.712611410947488,,Butto' Maurizio & C. S.A.S.,Tamoil,Via Unita' D'Italia 3 33085,33085,Maniago,2018-04-09,,
,22362,46.217121694313114,12.784197839286776,,Autoservice Di Sandra Zatti & C. S.N.C.,Agip Eni,Statale 552 Del Passo Rest  Km. 40  Dir. Passo Rest 33092,33092,Meduno,2018-04-09,,
,8420,46.152007288182354,12.661537113769555,,Chiaranda Walter,Agip Eni,Via Dell'Omo 47  33086,33086,Montereale Valcellina,2018-04-09,,
,14191,46.09627828783546,12.68066480755806,,F.Lli Corba S.A.S. Di Corba Massimo E Stefano,Api-Ip,Via Giulia  San Leonardo Valcellina 25 33086,33086,Montereale Valcellina,2018-04-09,,
,22248,45.859538774615466,12.92810395359993,,Pilosio Silvio,Agip Eni,Via Roma 11/A 33075,33075,Morsano Al Tagliamento,2018-04-09,,
