ref:mise,fuel:lpg,fuel:cng,operator,brand,lat,lon
19841,yes,,Mauro Andrea e Zuttion Catia S.N.C.,Agip Eni,46.09063,13.21446
32420,,,Aurora S.N.C. di Shahu Renato & C.,Api-Ip,46.10713,13.26484
17020,,yes,Auto Metano Udine di Rosso Cristian & C. S.A.S.,,46.03406,13.2665
35394,,yes,Commercio Petroli S.R.L.,Costantin,46.02208,13.23978
15815,,,Covacich Luciano S.N.C. di Covacich L. & C.,Total Erg,46.05219,13.23829
41788,,,Mian Renato,Agip Eni,46.06452,13.21204
10954,,,Bn di Bressan Gianni & C. S.A.S.,Esso,46.04918,13.24857
38336,,,Gasoline di Andrea De Benedetti,Esso,46.0642,13.21251
33088,,,Esso Multiservice di Simonin Andrea,Esso,46.07557,13.23759
40623,,,Filling Station Motel S.R.L.,Agip Eni,46.06313,13.22726
7366,,,F.Lli Giliberti S.N.C. di Giliberti Luca & Tiziano,Total Erg,46.10485,13.26181
33105,,,Formaggio Fulvio,Esso,46.06799,13.24436
40409,,,Gaidaros di Bonopera Andrea,Agip Eni,46.15358,13.2188
19094,,,Grattoni Nicola & C. S.A.S.,Esso,46.07415,13.20422
38540,,,De Santa Alessandro,Api-Ip,46.07463,13.2725
11096,,,Peres Patrizio,Agip Eni,46.07328,13.26774
9866,,,Polli Valter,Api-Ip,46.07115,13.22776
31897,,,Gestioni Innovative Italia S.R.L.,Agip Eni,46.0506,13.24784
38728,,,Fabro Michele,Q8,46.01583,13.26953
22954,,,Ilariucci Andrea,Repsol,46.01602,13.25743
30826,,,Pietroniro Giuseppe,Repsol,46.08058,13.2075
10689,,,Ro.Ma S.N.C. di Adami Roberto & C.,Repsol,46.02832,13.25882
37898,,,Rub Nawaz Ahmed,Agip Eni,46.07283,13.21396
37899,,,Rub Nawaz Ahmed,Agip Eni,46.04198,13.22156
6856,yes,,Sclippa Lino,Q8,46.05948,13.22015
16229,,,Servizio Erg di Marcovig Franco,Total Erg,46.05467,13.23135
40503,,,Singh Jasbir,Api-Ip,46.07366,13.22187
13887,,,Cravello Andrew,Agip Eni,46.06452,13.21201
35355,,,Rigotto Nerio,Esso,46.01663,13.25693
40858,,,Stazione di Servizio Fp di Fabrizio Pellizzari,Total Erg,46.05467,13.23136
18673,yes,yes,Padoano e Blasoni S.N.C. di Padoano Eros e C.,Api-Ip,46.03368,13.24617
9917,,,Stazione di Servizio Ip di Bacinello Alfio e Mauro S.N.C.,Api-Ip,46.07058,13.19664
11329,,,Macorigh Mauro,Tamoil,46.09164,13.22241
16463,,,Meneghin Antonino & C. S.N.C.,Agip Eni,46.05946,13.24838
13872,,,Tiemme Service S.A.S. di Tribos Daniele Sebastiano & C.,Tamoil,46.03692,13.2464
24662,,,Policella Roberto,Total Erg,46.07114,13.23713
38686,,,Rafikul Islam,Total Erg,46.05521,13.23467
18579,,,Troina Massimo,Agip Eni,46.08752,13.23302
6987,yes,,Jetrent S.R.L.,Api-Ip,46.03974,13.25298
25830,,,Ip Services S.R.L.,Api-Ip,46.07397,13.20245
25829,,,Ip Services S.R.L.,Api-Ip,46.07888,13.2348
25027,,,Pallini Maurizio,Api-Ip,46.08583,13.21709
38811,,,Poci Hekuran,Agip Eni,46.0567,13.22895
26566,,,Oil Italia S.R.L.,Oil Italia,46.04959,13.2039
11914,,,Servizi & Gestioni Italia S.R.L.,Q8,46.0376,13.24691
11913,,,Servizi & Gestioni Italia S.R.L.,Q8,46.07516,13.23867
11912,,,Servizi & Gestioni Italia S.R.L.,Q8,46.07537,13.22635
11910,,,Servizi & Gestioni Italia S.R.L.,Q8,46.05345,13.24662
9038,,,Di Bernardo Delia & Alba S.N.C.,Agip Eni,46.32679,13.13409
26568,,,Oil Italia S.R.L.,Oil Italia,46.36293,13.13542
4595,,,Gesticarb S.N.C. di Lucchini Gian Pietro e Luca Sonia,Agip Eni,46.41555,12.92797
14798,,,Centro Auto di Polonia Valerio,Esso,46.41625,12.91917
11906,,,Servizi & Gestioni Italia S.R.L.,Q8,46.41477,12.9314
28059,,,A. & B. S.A.S. di Alvaro Alessandro & C.,Esso,45.80645,13.39089
15104,,,Baggio Gabriele,Tamoil,45.72699,8.79976
32673,,,Ip Services S.R.L.,Api-Ip,45.77025,8.59423
14404,,,Balzarini e Brovelli di Lorenzo e Luca Balzarini & C. S.N.C,Total Erg,45.77628,8.58854
14125,,,Cisco Wash di Perospado Francesco,Api-Ip,45.77453,8.58457
19572,,,Redaelli Roberto,Agip Eni,45.85941,8.85681
27931,,,Mazzarello Sabrina,Total Erg,45.7036,8.73546
3934,yes,,Paganini Adelio,Total Erg,45.70281,8.73534
18697,,,Auto L.M. - S.R.L.,KEROPETROL,45.77626,8.79292
6803,,,Frs S.A.S. di Ferraro Fabio & C.,Total Erg,45.84004,8.76145
6197,,,S. & S. S.N.C. di Sanfelici Claudio e James,Total Erg,45.83857,8.69968
5908,,,Totalerg S.p.A.,Total Erg,45.70331,8.7741
41121,,,Basharat Muhammad,Total Erg,45.70333,8.7741
22847,,,Servizi & Gestioni Italia S.R.L.,Q8,45.85985,8.67059
11918,,,Servizi & Gestioni Italia S.R.L.,Q8,45.84388,8.67067
12159,,,Corti Gioele,Api-Ip,45.79072,8.75348
11924,,,Servizi & Gestioni Italia S.R.L.,Q8,45.83945,8.62861
35587,,,F.Lli Zanchin S.N.C. di Zanchin Roberto e C.,Api-Ip,45.82521,8.64318
9805,,,Bardelli Maria,Q8,45.83084,8.65242
9138,,,Stop And Go di Piccinelli Claudio,,45.88972,8.7881
21744,,,Belcaro Matteo,Api-Ip,45.78009,8.80917
41668,,,Moia Massimiliano,Api-Ip,45.78008,8.8092
31363,,,Sosta 2000 S.R.L.,,45.78867,8.80989
15386,,yes,Autolavaggio Sicilia di Castiglioni Antonio & C. S.N.C.,,45.60337,8.8191
24961,yes,,Ip Services S.R.L.,Api-Ip,45.63976,8.8329
29759,,,Ip Services S.R.L.,Api-Ip,45.60652,8.86276
7129,,,S.S.C. Società Sviluppo Commerciale S.R.L. in sigla S.S.C. S. R.L.,Tamoil,45.61431,8.87488
6459,,,Servizi & Gestioni Italia S.R.L.,Q8,45.60909,8.83352
23156,,,Servizi & Gestioni Italia S.R.L.,Q8,45.6372,8.84978
11922,,,Servizi & Gestioni Italia S.R.L.,Q8,45.62082,8.84676
11920,,,Servizi & Gestioni Italia S.R.L.,Q8,45.6016,8.86153
37333,,,F.Lli Artoni di Artoni Fabrizio & C. S.N.C.,Agip Eni,45.59674,8.86074
40196,,,Pellegrini Stefano,Agip Eni,45.62781,8.83029
38949,,,Ceppi Roberto,Agip Eni,45.6216,8.8529
14960,,,Ceppi Roberto,Agip Eni,45.62643,8.85778
22654,,,Esposto Filippone Francesco,,45.58908,8.8586
10021,,,Bosatelli Bruno & C. - S.A.S.,Esso,45.62548,8.85787
9059,,,Lepri Marco,Esso,45.61535,8.83901
9058,,,Lepri Marco,Esso,45.62874,8.84161
14390,,,Iametti S.A.S. di Iametti Danilo e Marco,Agip Eni,45.60283,8.8472
14992,,,Kant S.A.S. di Masato Christian & C.,Tamoil,45.63089,8.8479
29088,,,Pellegrini Gabriele,Agip Eni,45.61292,8.86721
39853,,,Sommese Carburante S.R.L.,,45.63635,8.84634
12887,,,2-elle S.N.C. di Tescaro Luca e Papandrea Luca,Total Erg,45.58098,8.85947
22418,,,Marino Rocco,Total Erg,45.59867,8.86076
38454,,,Totalerg di Giudice Lorena,Total Erg,45.61282,8.8661
4394,yes,,Gas Service di Irritano Mario,,45.57995,8.86502
4382,,,Cairo S.N.C. di Cairo Enrico e Stefano,,45.79889,8.64533
31608,,,Progetto e Sviluppo S.R.L.,Retitalia,45.80271,8.6298
36260,,,Ip Services S.R.L.,Api-Ip,45.68073,8.84437
11925,,,Servizi & Gestioni Italia S.R.L.,Q8,45.68824,8.88661
16323,yes,,Gi e Gi S.N.C. di Giardinetti Rocco e Giampietro Nico,,45.6831,8.85535
27017,,,Battaglia Carmen,Total Erg,45.6868,8.87325
31137,,,Giacometti Gian Luca,Total Erg,45.87509,8.64972
4720,yes,yes,Garbini S.R.L.,Agip Eni,45.64593,8.74929
41177,,,Severo Carburanti di Severo Alessandro,,45.6528,8.76627
30797,,,Servizi & Gestioni Italia S.R.L.,Q8,45.58167,9.06005
39660,yes,,G.Petroli S.A.S. di Gabanelli Livio & C.,,45.59071,9.05009
40387,,,Moretti di Moretti Luca,Moro,45.60481,9.04062
38985,,,Corti Stefano,,45.59655,9.04538
8319,,,"Malnati, Riganti & C. S.N.C.",Esso,45.73283,8.83214
19081,,,Castellanelli S.N.C. di Castellanelli Pietro & C.,Tamoil,45.67137,8.75454
4185,yes,yes,Prealpina Distribuzione Carburanti S.R.L.,,45.6652,8.74953
19635,,,Luca Garganese,,45.67191,8.74947
5979,,yes,Gestioni Europa S.p.A.,Total Erg,45.69061,8.82117
25391,,,Gestioni Innovative Italia S.R.L.,Agip Eni,45.67164,8.82286
21271,,,Car-tel S.N.C. di Telesca R. & Cartini M. L.,,45.66864,8.81686
6798,,,F.Lli Dell'orfano di Dell'orfano Massimino,Agip Eni,45.6604,8.84346
5552,,,Gestioni Europa S.p.A.,Total Erg,45.60706,8.91045
6460,,,Servizi & Gestioni Italia S.R.L.,Q8,45.61509,8.90437
14684,,,Albano Andrea,,45.60751,8.90783
10479,,,F.Lli Gadda S.N.C. di Giuseppe e Angelo Gadda,,45.60901,8.88919
15625,,,Ma-bo S.N.C. di Bloise Antonietta e Mazzucchelli Guido,Api-Ip,45.60464,8.87557
25132,,,Gestioni Innovative Italia S.R.L.,Agip Eni,45.61004,8.91005
39454,,,Eni Fuel S.p.A.,Agip Eni,45.60382,8.89279
18798,,,Autoriparazioni Martignoni Corrado,,45.71264,8.86228
7342,,,Ferrari Mario,Tamoil,45.76202,8.87619
4707,,,Nuova Sidap S.R.L.,Tamoil,45.7628,8.81132
3593,yes,,A.D.S. Tamoil 8707 di Granata Sebastiano,Tamoil,45.76222,8.80937
33723,,,Maioriello Marco,Tamoil,45.6924,8.80198
15786,yes,,F.Lli Vita S.N.C. di Vita Giuseppe e Rocco,,45.65249,8.9582
38341,,,W.M. Service S.N.C. di Rimoldi William e Varano Manuel,Esso,45.66039,8.97506
15285,,,Galli Angelo,Esso,45.65356,8.98478
39354,,,Garage Brenna S.N.C. di Brenna Gianbattista e C.,Q8,45.65703,8.97964
