ref:mise,fuel:lpg,fuel:cng,operator,brand,lat,lon
5311,,yes,Daunia Metano S.R.L.,Agip Eni,41.35888,15.71349
19652,yes,,Young Oil S.R.L.,,41.35451,15.69815
10310,yes,,Bna Distribuzione Service S.R.L.,Total Erg,41.39389,15.83829
14351,yes,yes,Cerignola Fuel S.R.L.,,41.25816,15.92756
17083,yes,,Cannone Antonio & C. S.N.C.,Total Erg,41.27807,15.8635
34618,,yes,Fagnelli Petroli S.R.L.,,41.26769,15.88418
35464,yes,,Sarni S.R.L.,Sarni Oil,41.32995,15.87566
36840,yes,,Sarni S.R.L.,Sarni Oil,41.32857,15.87655
34605,yes,yes,Mastropietro Celeste,Agip Eni,41.31927,15.90049
35463,yes,,Sarni S.R.L.,Sarni Oil,41.19176,15.81334
22312,yes,,To.P. S.R.L.,Q8,41.26645,15.94186
35466,yes,,Sarni S.R.L.,Sarni Oil,41.90977,15.16805
3753,yes,,F.Lli Donofrio di Donofrio Domenico & C. S.A.S.,Api-Ip,41.90866,15.16959
16655,yes,,Aerre Petroli - S.N.C. di Laquintana Antonio,,41.42787,15.57666
38718,yes,,Easy Service S.R.L.,Energas,41.4711,15.59945
38717,yes,,Easy Service S.R.L.,Energas,41.47147,15.60023
20373,yes,,Laquintana S.N.C. di Antonio Laquintana & C.,,41.43856,15.48913
38320,yes,,Helios Energy S.R.L.,,41.53954,15.50199
17735,yes,yes,Metanauto Foggia Sud S.A.S. di Bandello Rosaria & C.,Agip Eni,41.44822,15.57578
5286,,yes,Metancar S.R.L.,Natural Gas,41.5131,15.51238
26605,yes,,Refuel S.R.L.,Agip Eni,41.43607,15.50448
39181,yes,,Gecar S.R.L.,Tamoil,41.41505,15.55802
42332,yes,,Calor Sud S.R.L.,,41.50222,15.35265
4373,yes,,Camer Petroleum Europa S.R.L.,Camer,41.56867,15.7498
26342,yes,,Schioppa Carburanti S.R.L.,,41.60333,15.88099
30277,,yes,Petrol Veneta S.R.L.,,41.59789,15.84882
35133,yes,,Stop & Go di Vuovolo Antonio e C. - S.A.S.,Agip Eni,41.63833,15.89663
27391,yes,yes,Curci Michele,Agip Eni,41.33157,15.71698
25175,yes,,Carusel S.A.S. di Ranieri Alessandro,,41.93354,16.01487
10482,yes,,Cassano Carburanti S.R.L.,Agip Eni,41.69993,15.7315
38549,yes,,Pam Oil S.R.L.,PAM OIL,41.69704,15.72308
31078,yes,,Garganogas - Società a Responsabilità Limitata Siglabile in Garganogas S.R.L.,GasAuto,41.837,15.5768
5344,yes,,Palmieri Pietro,,41.8756,15.52569
36629,,yes,Metano Puglia di Cardinali Mauro,,41.76269,15.22476
25248,yes,,Cristal Immobiliare S.R.L.,,41.71117,15.38836
4553,,yes,Metano Puglia di Cardinali Mauro,,41.71486,15.39078
36874,yes,,Schioppa Carburanti S.R.L.,,41.70514,15.34446
39789,yes,,Petrillo Ferdinando,,41.6909,15.3988
10225,yes,,"F.Lli Carfagna di Carfagna Calzella, Alfredo, Mario e Luisa S.N.C",,41.68916,15.32472
24354,yes,yes,3 P di Pastorella Michelantonio & C. S.A.S..,,41.90522,16.09564
27035,yes,,Lepri Paolo & Guidi Claudio S.N.C.,Agip Eni,43.73825,11.29135
38452,yes,yes,Impianti Italia S.R.L.,,43.98922,11.22801
